,full_price,city,eu_country,bedrooms,person_capacity,cleanliness_rating,guest_satisfaction_overall,distance_to_center,distance_to_metro
8,1001.8044196564572,amsterdam,Netherlands,2,4.0,9.0,96.0,3.719141398657261,1.1961123528716675
10,909.4743748974762,amsterdam,Netherlands,1,2.0,10.0,96.0,1.0099220248634968,0.9171150679278918
12,675.6028402034074,amsterdam,Netherlands,1,4.0,8.0,87.0,2.9330458432919566,0.6280730466725806
21,933.8457572704052,amsterdam,Netherlands,2,4.0,10.0,96.0,1.0140664267918649,0.3771036873075551
28,1032.9716682679916,amsterdam,Netherlands,2,4.0,9.0,96.0,2.161607613910167,1.4241694265758251
33,602.254352869496,amsterdam,Netherlands,2,3.0,10.0,100.0,3.856290112898853,0.7279622388446657
38,796.2880509924308,amsterdam,Netherlands,2,4.0,10.0,94.0,2.8549916690296686,1.7025833727524873
41,614.4400440559605,amsterdam,Netherlands,1,4.0,9.0,96.0,0.495828246257032,0.3327422132904341
43,716.3780376350386,amsterdam,Netherlands,2,5.0,10.0,96.0,3.69500542587883,0.3975279375938017
47,983.2915426616364,amsterdam,Netherlands,2,3.0,10.0,100.0,1.4305110577156566,1.3525869353715234
56,780.3529163639773,amsterdam,Netherlands,5,4.0,10.0,100.0,1.395578909867689,0.8572393306243391
58,1044.6886790242074,amsterdam,Netherlands,2,4.0,10.0,98.0,1.505923967249401,0.175794704274626
59,847.8428983197807,amsterdam,Netherlands,3,4.0,10.0,98.0,1.2673284617211298,1.1579997481608375
61,613.268342980339,amsterdam,Netherlands,1,4.0,9.0,84.0,0.2272606763176075,0.4598073595219026
66,1179.6686429358142,amsterdam,Netherlands,2,4.0,10.0,99.0,0.6265683252747638,0.5815343983346937
78,761.8400393691562,amsterdam,Netherlands,2,4.0,9.0,93.0,1.09118232606682,1.216674871885683
83,640.4518079347597,amsterdam,Netherlands,1,2.0,9.0,96.0,1.7326208039228015,0.504430856064857
85,934.0800974855296,amsterdam,Netherlands,1,4.0,10.0,96.0,1.1199150496750092,0.3824055698576001
90,792.7729477655661,amsterdam,Netherlands,2,4.0,10.0,97.0,5.902076232094142,1.9405543232877949
95,1044.6886790242074,amsterdam,Netherlands,1,2.0,10.0,98.0,3.0030686360809,1.6344634192292808
102,1376.514423640241,amsterdam,Netherlands,2,4.0,10.0,93.0,1.9307016592209525,1.5858252502236687
107,774.2600707707451,amsterdam,Netherlands,1,2.0,10.0,100.0,1.8105403189141107,0.5203169404675712
109,604.5977550207392,amsterdam,Netherlands,1,4.0,10.0,95.0,1.8831520950903005,0.7067286569629585
111,744.4988634499567,amsterdam,Netherlands,0,2.0,10.0,92.0,2.6780920014537366,1.844094477601163
115,675.6028402034074,amsterdam,Netherlands,1,2.0,10.0,97.0,1.2265998445779276,0.4873379813018268
116,909.4743748974762,amsterdam,Netherlands,2,4.0,10.0,98.0,2.6187094013605834,0.4308307558331673
119,700.442903006585,amsterdam,Netherlands,2,4.0,9.0,97.0,4.934493704887129,1.0142340425633636
122,675.6028402034074,amsterdam,Netherlands,1,2.0,10.0,94.0,3.3720972916742413,2.1386838643617683
123,675.6028402034074,amsterdam,Netherlands,1,4.0,10.0,98.0,1.960856865325015,0.500426586761092
127,920.4883650083192,amsterdam,Netherlands,3,4.0,10.0,99.0,1.2475451828191395,0.939539308934614
128,718.9557800014061,amsterdam,Netherlands,1,2.0,10.0,100.0,2.8703632527640237,0.6699301441556185
130,988.2126871792468,amsterdam,Netherlands,3,4.0,9.0,98.0,2.064980564395761,0.1256081740720538
132,798.6314531436741,amsterdam,Netherlands,2,4.0,8.0,87.0,0.218366101609283,0.2591512188348284
135,934.0800974855296,amsterdam,Netherlands,1,2.0,10.0,99.0,1.1547535644310036,1.2846700786178615
136,639.0457666440138,amsterdam,Netherlands,2,4.0,10.0,94.0,1.8376328981523096,1.584238759465108
137,1474.9373139924544,amsterdam,Netherlands,2,5.0,10.0,99.0,1.088797787354492,1.212522232900192
138,1020.082956436154,amsterdam,Netherlands,2,4.0,9.0,96.0,1.388807900683971,0.1269511243741907
139,1192.088674337403,amsterdam,Netherlands,2,4.0,10.0,98.0,0.7110008852626659,0.8957467668007161
140,798.6314531436741,amsterdam,Netherlands,1,2.0,10.0,99.0,3.418305160366661,1.1743112776586542
141,854.4044243432617,amsterdam,Netherlands,3,4.0,10.0,98.0,3.3858261601570585,0.8591961020934598
142,614.4400440559605,amsterdam,Netherlands,1,2.0,8.0,78.0,3.6811019022708114,0.6261363394588191
144,870.105218756591,amsterdam,Netherlands,3,4.0,10.0,98.0,3.7690531200659865,1.5272057403729855
151,614.4400440559605,amsterdam,Netherlands,1,2.0,10.0,98.0,2.378975833053337,0.3727314901110468
153,663.6514892320672,amsterdam,Netherlands,1,2.0,8.0,80.0,3.603560472926401,0.5668273884573035
155,1044.6886790242074,amsterdam,Netherlands,1,2.0,10.0,100.0,0.7632839134656935,0.7397462391919207
159,985.6349448128794,amsterdam,Netherlands,1,2.0,10.0,97.0,2.1196232016134884,1.5086101517302042
160,1214.116654559089,amsterdam,Netherlands,0,4.0,9.0,93.0,1.9378488749721643,1.5727986406510968
162,937.5952007123944,amsterdam,Netherlands,1,4.0,9.0,92.0,1.0057848731195025,0.5415389093721886
165,1228.880088111921,amsterdam,Netherlands,2,4.0,8.0,80.0,4.018532276866914,0.6144464815739037
172,780.5872565791016,amsterdam,Netherlands,2,4.0,10.0,100.0,2.2190485159577604,0.1534425610558035
177,626.3913950273006,amsterdam,Netherlands,2,4.0,10.0,97.0,2.2645205162247763,0.4557332516539836
178,835.8915473484406,amsterdam,Netherlands,1,2.0,10.0,100.0,1.133040038699657,0.4199509714157932
